ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,XY (CABA),VICTIMA,ACUSADO,Nº víctimas,V,A,Grupos_Part,Involucrados
2017-0112,2,2017-09-10,2017,9,10,09:32:17,9,AU 25 DE MAYO Y AV. VARELA,AUTOPISTA,7,Point (100479.14412395 98812.52258620),AUTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,AUTO-OBJETO FIJO
2017-0113,1,2017-09-11,2017,9,11,06:30:00,6,AV. SANTA FE Y MAIPU,AVENIDA,1,Point (107918.77617420 103716.42961253),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0114,1,2017-09-15,2017,9,15,02:30:00,2,AV. ALVEAR Y AV. DEL LIBERTADOR,AVENIDA,2,Point (106632.70892338 104910.17381357),AUTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,AUTO-OBJETO FIJO
2017-0115,1,2017-09-19,2017,9,19,18:52:33,18,AV. PAVON Y TREINTA Y TRES ORIENTALES,AVENIDA,5,Point (103803.42869640 99818.79654291),MOTO,BICICLETA,1,Motorizado,No Motorizado,NmM,MOTO-BICICLETA
2017-0116,1,2017-09-20,2017,9,20,22:24:00,22,COLECTORA AV. GRAL. PAZ 5750,GRAL PAZ,12,Point (95357.86744200 105380.41895972),MOTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,MOTO-OBJETO FIJO
2017-0118,1,2017-09-22,2017,9,22,07:02:09,7,VIEYTES Y CRUZ,AVENIDA,4,Point (108016.39016447 97439.36817481),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0120,1,2017-10-02,2017,10,2,15:55:33,15,AU DELLEPIANE Y AV. ESCALADA,AUTOPISTA,9,Point (99113.17852207 96319.06728520),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0123,1,2017-10-10,2017,10,10,01:05:38,1,ALBARIÑO Y AV. ARGENTINA,AVENIDA,8,Point (99518.38660571 95241.63338177),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2017-0124,1,2017-10-12,2017,10,12,14:40:28,14,JUAN RAMIREZ DE VELAZCO 1211,CALLE,15,Point (101904.43474476 104150.89892205),MOTO,PASAJEROS,1,Motorizado,Motorizado,MM,MOTO-PASAJEROS
2017-0125,1,2017-10-13,2017,10,13,06:12:20,6,AV. FERNANDEZ DE LA CRUZ Y LARRAYA,AVENIDA,8,Point (99732.19478660 94453.36361177),MOTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,MOTO-OBJETO FIJO
2017-0126,2,2017-10-14,2017,10,14,06:15:00,6,AV. RIESTRA Y CAÑADA DE GOMEZ,AVENIDA,8,Point (98466.20276785 94207.42419155),AUTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,AUTO-OBJETO FIJO
2017-0127,1,2017-10-16,2017,10,16,07:45:00,7,GALLO Y AV. CORDOBA,AVENIDA,2,Point (104713.04838502 103467.44528033),MOTO,MOTO,1,Motorizado,Motorizado,MM,MOTO-MOTO
2017-0128,1,2017-10-17,2017,10,17,12:30:00,12,DR. JUAN F. ARANGUREN 611,CALLE,6,Point (102105.12699179 101749.49668435),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0129,1,2017-10-26,2017,10,26,19:15:15,19,AU PERITO MORENO Y AU 25 DE MAYO,AUTOPISTA,9,Point (99243.41866587 97782.67879316),MOTO,PASAJEROS,1,Motorizado,Motorizado,MM,MOTO-PASAJEROS
2017-0130,1,2017-10-27,2017,10,27,05:30:00,5,CHORROARIN Y AV. SAN MARTIN,AVENIDA,15,Point (98575.30034704 103283.44421792),AUTO,CARGAS,1,Motorizado,Motorizado,MM,AUTO-CARGAS
2017-0132,1,2017-10-30,2017,10,30,14:00:00,14,COSQUIN Y AV. CNEL. ROCA,AVENIDA,8,Point (99796.45945783 92847.91633262),MOTO,PASAJEROS,1,Motorizado,Motorizado,MM,MOTO-PASAJEROS
2017-0134,1,2017-11-06,2017,11,6,18:00:00,18,AV. CNEL. ROCA 3555,AVENIDA,8,Point (101915.86954232 95727.75538814),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0135,1,2017-11-07,2017,11,7,12:14:10,12,AV. WARNES Y PUNTA ARENAS,AVENIDA,15,Point (99355.48397222 103660.98712619),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0136,1,2017-11-16,2017,11,16,08:43:00,8,DEL BARCO CENTENERA Y RABANAL,AVENIDA,4,Point (104127.10295709 97119.53980201),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0137,1,2017-11-17,2017,11,17,11:45:00,11,AV. GRAL. ENRIQUE MOSCONI Y SAN NICOLAS,AVENIDA,11,Point (95458.27090734 104045.28333021),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
2017-0138,1,2017-11-19,2017,11,19,10:30:00,10,AV. LAFUENTE Y AV. EVA PERON,AVENIDA,7,Point (100065.47249269 98381.80497378),MOTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,MOTO-OBJETO FIJO
2017-0139,1,2017-11-19,2017,11,19,22:30:00,22,AV. CNEL. ROCA Y AV. ESCALADA,AVENIDA,8,Point (101160.07257435 94368.23344193),AUTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,AUTO-OBJETO FIJO
2017-0140,1,2017-11-19,2017,11,19,23:22:17,23,AU ARTURO FRONDIZI PKM 3100,AUTOPISTA,4,Point (. .),MOTO,PASAJEROS,1,Motorizado,Motorizado,MM,MOTO-PASAJEROS
2017-0141,1,2017-11-23,2017,11,23,19:45:00,19,AV. LA PLATA Y AV. PEDRO GOYENA,AVENIDA,6,Point (103312.47684665 100458.27902411),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0143,1,2017-11-25,2017,11,25,21:45:00,21,TRELLES Y GRAL. CESAR DIAZ,CALLE,11,Point (99897.24182072 102443.29154512),AUTO,PASAJEROS,1,Motorizado,Motorizado,MM,AUTO-PASAJEROS
2017-0144,1,2017-11-26,2017,11,26,06:45:00,6,AV. CNEL. ROCA Y COLECTORA AV. GRAL. PAZ,GRAL PAZ,8,Point (99327.01838497 92326.91130631),AUTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,AUTO-OBJETO FIJO
2017-0145,1,2017-11-26,2017,11,26,17:05:00,17,MAZA Y DON BOSCO,CALLE,5,Point (104266.88124229 101889.22080612),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0147,1,2017-11-28,2017,11,28,11:15:00,11,AV. GRAL. PAZ Y AV. EVA PERON,GRAL PAZ,9,Point (96405.76679348 94981.38013791),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0148,1,2017-11-29,2017,11,29,10:45:00,10,AV. SAN JUAN Y LA RIOJA,AVENIDA,3,Point (105155.42991407 100540.06938064),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0149,1,2017-11-30,2017,11,30,12:20:00,12,AV. PASEO COLON Y MEXICO,AVENIDA,1,Point (108605.31247489 101604.53195530),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0150,1,2017-12-04,2017,12,4,01:15:00,1,AV. RIVADAVIA Y MIRALLA,AVENIDA,9,Point (95589.03838155 98881.22999034),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2017-0151,1,2017-12-04,2017,12,4,02:15:00,2,VIEYTES Y LUJAN,CALLE,4,Point (108130.20782757 97076.54120716),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0152,1,2017-12-06,2017,12,6,17:30:00,17,CACHI Y TRAFUL,CALLE,4,Point (104752.14395609 97617.14934540),BICICLETA,PASAJEROS,1,No Motorizado,Motorizado,NmM,BICICLETA-PASAJEROS
2017-0153,2,2017-12-11,2017,12,11,02:00:00,2,ROSARIO Y AV. LA PLATA,AVENIDA,6,Point (103186.65733155 101217.09689755),MOTO,PASAJEROS,1,Motorizado,Motorizado,MM,MOTO-PASAJEROS
2017-0154,1,2017-12-11,2017,12,11,09:15:00,9,AV. ENTRE RIOS Y AV. CASEROS ,AVENIDA,4,Point (106688.43418876 99459.27505947),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0157,1,2017-12-17,2017,12,17,09:02:00,9,AV. GRAL. PAZ Y HUMAITA,GRAL PAZ,9,Point (94007.62506099 98145.35456663),AUTO,PASAJEROS,1,Motorizado,Motorizado,MM,AUTO-PASAJEROS
2017-0158,1,2017-12-18,2017,12,18,21:30:00,21,GUALEGUAYCHU Y COLECTORA AV. GRAL PAZ,GRAL PAZ,11,Point (94764.11350214 103903.32150283),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0159,1,2017-12-20,2017,12,20,04:31:27,4,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,1,Point (106817.01972475 101248.18030272),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0160,1,2017-12-22,2017,12,22,13:15:00,13,AV. NAZCA 365,AVENIDA,7,Point (99317.63492514 100172.19114010),PEATON,MOTO,1,PEATON,Motorizado,PM,PEATON-MOTO
2017-0161,1,2017-12-26,2017,12,26,15:30:00,15,AV. EVA PERON 5249,AVENIDA,9,Point (98285.13000363 96624.14779705),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2018-0001,1,2018-01-01,2018,1,1,22:50:00,22,San Juan Av. Y Rincón,AVENIDA,3,Point (106229.70400707 100696.43939679),PEATON,MOTO,1,PEATON,Motorizado,PM,PEATON-MOTO
2018-0002,1,2018-01-03,2018,1,3,16:40:00,16,Peru 937,CALLE,1,Point (108138.18410245 101140.78821350),BICICLETA,PASAJEROS,1,No Motorizado,Motorizado,NmM,BICICLETA-PASAJEROS
2018-0003,1,2018-01-05,2018,1,5,10:12:00,10,"Pueyrredon, Honorio, Dr. Av. y Galicia",AVENIDA,15,Point (101348.13972450 102808.02053976),PEATON,MULTIPLE,1,PEATON,Multiple,M,MULTIPLE
2018-0004,1,2018-01-09,2018,1,9,09:40:00,9,Del Libertador Av. y Manzanares,AVENIDA,13,Point (100183.96103971 109533.84269558),MOTO,MULTIPLE,1,Motorizado,Multiple,M,MULTIPLE
2018-0005,1,2018-01-09,2018,1,9,22:30:00,22,Paseo Colon Av. 1019,AVENIDA,1,Point (108641.50518777 101075.93727953),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0006,1,2018-01-10,2018,1,10,21:15:00,21,Valle y Barco Centenera Del,CALLE,6,Point (102079.59903748 100474.45881577),BICICLETA,PASAJEROS,1,No Motorizado,Motorizado,NmM,BICICLETA-PASAJEROS
2018-0007,1,2018-01-11,2018,1,11,02:30:00,2,AU Perito Moreno  KM 0.6,AUTOPISTA,9,Point (94340.14761734 99250.24722124),AUTO,AUTO,1,Motorizado,Motorizado,MM,AUTO-AUTO
2018-0008,1,2018-01-12,2018,1,12,17:50:00,17,"Huergo, Ing. Av. e Independencia Av.",AVENIDA,1,Point (108868.80749430 101370.51785663),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2018-0009,1,2018-01-14,2018,1,14,02:00:00,2,"Pilcomayo y Brown, Alte. Av.",AVENIDA,4,Point (108796.38792642 100177.06810505),MOTO,MOTO,1,Motorizado,Motorizado,MM,MOTO-MOTO
2018-0010,1,2018-01-18,2018,1,18,05:10:00,5,"Cervantes y Belaustegui, Luis, Dr.",CALLE,10,Point (96810.81688812 99875.56613013),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2018-0011,1,2018-01-19,2018,1,19,10:30:00,10,Callao y Vte. Lopez,AVENIDA,2,Point (106639.47032605 104255.89970551),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0012,1,2018-01-26,2018,1,26,13:30:00,13,"Oliden y Chilavert, Martiniano, Coronel",CALLE,8,Point (99466.65991849 94317.70888094),MOTO,PASAJEROS,1,Motorizado,Motorizado,MM,MOTO-PASAJEROS
2018-0013,1,2018-01-28,2018,1,28,08:15:00,8,Congreso Av. y Galvan,AVENIDA,12,Point (97860.62977748 106812.00802724),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2018-0014,1,2018-01-31,2018,1,31,20:00:00,20,"Moreno, Perito Av. y Rivera Indarte",AVENIDA,7,Point (102067.32140821 97610.71255013),PEATON,MOTO,1,PEATON,Motorizado,PM,PEATON-MOTO
2018-0015,2,2018-02-06,2018,2,6,01:00:00,1,Australia Av. 2800,AVENIDA,4,Point (107053.47849253 98047.93724144),MOTO,PASAJEROS,1,Motorizado,Motorizado,MM,MOTO-PASAJEROS
2018-0016,1,2018-02-15,2018,2,15,10:15:00,10,"Del Libertador Av. y Ramos Mejia, Jose Maria, Dr. Av.",AVENIDA,1,Point (108069.68986814 104046.20018024),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2018-0017,1,2018-02-17,2018,2,17,04:15:00,4,San Pedrito Av. y Rivadavia Av.,AVENIDA,7,Point (99418.67591727 99840.67619219),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2018-0018,1,2018-02-17,2018,2,17,07:15:00,7,"Isabel La Catolica y Salvadores, Cnel.",CALLE,4,Point (108363.47256437 98202.84498754),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2018-0019,1,2018-02-17,2018,2,17,12:30:00,12,Las Heras General Av. y Callao Av.,AVENIDA,2,Point (106550.65433457 104158.41702434),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0020,1,2018-02-19,2018,2,19,22:00:00,22,Fernandez de la Cruz Subida AU Héctor J. Cámpora,AUTOPISTA,8,Point (101207.19032483 96015.90575056),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2018-0021,1,2018-02-22,2018,2,22,10:45:00,10,AMANCIO ALCORTA Y ZAVALETA,AVENIDA,4,Point (105634.57202683 98201.36000813),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0022,1,2018-02-24,2018,2,24,00:00:00,0,"Montes De Oca, Manuel y Olavarria",AVENIDA,4,Point (108149.86840397 98842.98534187),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2018-0023,1,2018-02-24,2018,2,24,06:00:00,6,Barco Centenera Del y Rosario,CALLE,6,Point (102035.73876399 100936.73706899),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2018-0024,1,2018-02-28,2018,2,28,23:00:00,23,Alvarez Thomas Av. y Donado,AVENIDA,15,Point (99305.05235104 105657.19134383),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
2018-0025,1,2018-03-04,2018,3,4,22:30:00,22,Av. Avellaneda y Av. Boyacá,AVENIDA,7,Point (100337.26455822 100756.41076314),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2018-0026,2,2018-03-09,2018,3,9,04:45:00,4,"Rabanal, Francisco, Intendente Av. y Saenz Av.",AVENIDA,4,Point (104283.01090451 97171.08656182),MOVIL,CARGAS,1,Motorizado,Motorizado,MM,CARGAS-MOVIL
2018-0027,1,2018-03-11,2018,3,11,23:00:00,23,Castro y Rondeau,CALLE,5,Point (104051.46146857 99117.09528964),PEATON,MOTO,1,PEATON,Motorizado,PM,PEATON-MOTO
2018-0028,1,2018-03-13,2018,3,13,15:45:00,15,"Bilbao, Francisco Av. y Azul",AVENIDA,9,Point (99275.15851476 98531.15835355),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
2018-0029,1,2018-03-15,2018,3,15,18:00:00,18,Nazca Av. y Gaona Av.,AVENIDA,11,Point (99001.33520474 100973.19474422),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2018-0030,1,2018-03-20,2018,3,20,01:30:00,1,Plaza y Alvarez Thomas Av.,AVENIDA,15,Point (99641.71055660 105570.42188351),MOTO,MOTO,1,Motorizado,Motorizado,MM,MOTO-MOTO
2018-0031,1,2018-03-28,2018,3,28,10:15:00,10,"Gaona Av. y Artigas, Jose Gervasio, Gral.",AVENIDA,11,Point (99468.64184992 101272.71412938),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2018-0032,1,2018-04-02,2018,4,2,13:00:00,13,Cabildo Av. y Aguilar,AVENIDA,13,Point (101491.71965442 106698.43843791),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0033,1,2018-04-07,2018,4,7,07:30:00,7,Camarones y Lope De Vega Av.,AVENIDA,10,Point (96143.57848535 100026.85558450),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2018-0034,1,2018-04-11,2018,4,11,18:15:00,18,Santa Fe Av. 2320,AVENIDA,2,Point (105786.93203839 103775.29320399),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0035,1,2018-04-12,2018,4,12,16:45:00,16,Av. Rivadavia 6950,AVENIDA,7,Point (100003.66169818 100008.18099088),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0036,1,2018-04-13,2018,4,13,23:15:00,23,Av. San Martín y Argerich,AVENIDA,15,Point (97118.17245497 103585.17867883),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2018-0037,1,2018-04-18,2018,4,18,18:45:00,18,"Cordoba Av. y Uriburu Jose E., Pres.",AVENIDA,2,Point (105923.35790409 103271.83194351),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
2018-0038,2,2018-04-20,2018,4,20,17:10:00,17,AV. RIVADAVIA 1571,AVENIDA,1,Point (106840.31999667 102262.72809661),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2018-0039,1,2018-04-21,2018,4,21,22:15:00,22,AUTOPISTA LUGONES KM 4.7,AUTOPISTA,14,Point (. .),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2018-0040,1,2018-04-27,2018,4,27,11:00:00,11,Ramon Freire y Virrey Olaguer y Feliu,CALLE,13,Point (100590.76036525 106235.55299971),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
2018-0041,1,2018-04-27,2018,4,27,13:30:00,13,"La Plata Av. y Fernandez De La Cruz, F., Gral. Av.",AVENIDA,4,Point (103711.66698694 98495.65433114),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0042,1,2018-04-27,2018,4,27,18:43:00,18,BRANDSEN y PERDRIEL,CALLE,4,Point (107026.83754260 98858.75172681),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2018-0043,1,2018-04-28,2018,4,28,06:30:00,6,"Vilardebo, Teodoro y Alvarez Jonte Av.",AVENIDA,11,Point (97438.46582767 101907.03915052),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2018-0044,1,2018-04-28,2018,4,28,09:00:00,9,Alberti e Independencia Av.,AVENIDA,3,Point (105715.04318224 101174.58167004),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2018-0045,1,2018-04-30,2018,4,30,07:00:00,7,Alvarez Thomas Av. 879,AVENIDA,13,Point (100808.33159423 105557.81994917),AUTO,CARGAS,1,Motorizado,Motorizado,MM,AUTO-CARGAS
2018-0046,1,2018-05-02,2018,5,2,03:15:00,3,Av. Gral. Paz y Av. Rivadavia,GRAL PAZ,9,Point (93950.50587297 98883.37644525),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2018-0047,1,2018-05-08,2018,5,8,19:00:00,19,Av. Corrientes y Av. Dorrego,AVENIDA,15,Point (101440.29935254 104167.40204334),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0048,1,2018-05-09,2018,5,9,10:30:00,10,Rivadavia Av. y Pedernera,AVENIDA,7,Point (99925.51296558 100002.14427355),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0049,1,2018-05-11,2018,5,11,19:15:00,19,Quesada 2300,CALLE,13,Point (100107.11808300 108354.57023193),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2018-0050,1,2018-05-14,2018,5,14,18:45:00,18,Cabildo Av. y Juramento Av.,AVENIDA,13,Point (100606.16651489 107458.45493347),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0051,1,2018-05-15,2018,5,15,21:15:00,21,"California y Carbonari, Francisco, Cmte.",CALLE,4,Point (109491.72835084 98425.60443682),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2018-0052,1,2018-05-18,2018,5,18,20:30:00,20,"Carril, Salvador Maria Del Av. y Nazca",AVENIDA,15,Point (96798.08806617 104278.02817622),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0053,1,2018-05-20,2018,5,20,02:30:00,2,San Luis y Aguero,CALLE,3,Point (104834.84104085 103313.26202067),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2018-0054,1,2018-05-22,2018,5,22,11:15:00,11,Lugones 2430,CALLE,12,Point (98495.84519532 106440.03052817),PEATON,BICICLETA,1,PEATON,No Motorizado,,PEATON-BICICLETA
2018-0055,1,2018-05-29,2018,5,29,07:30:00,7,Independencia Av. y Jujuy Av.,AVENIDA,3,Point (105482.77183741 101155.54165898),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2018-0056,1,2018-06-02,2018,6,2,13:00:00,13,Av. Rivadavia 11050,AVENIDA,9,Point (94825.31796080 98898.07278223),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0057,1,2018-06-03,2018,6,3,03:30:00,3,Combate De Los Pozos y Humberto 1°,CALLE,3,Point (106436.50690531 100845.32785530),MOTO,PASAJEROS,1,Motorizado,Motorizado,MM,MOTO-PASAJEROS
2018-0058,1,2018-06-03,2018,6,3,06:30:00,6,Cordoba Av. y Thames,AVENIDA,15,Point (102567.54814228 104264.87527568),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2018-0059,1,2018-06-08,2018,6,8,06:20:00,6,"Garay, Juan De Av. y Sanchez De Loria",AVENIDA,5,Point (104724.05358972 99878.51159963),MOTO,OTRO,1,Motorizado,No Motorizado,NmM,MOTO-OTRO
2018-0060,1,2018-06-08,2018,6,8,12:50:00,12,"Lavalle y Alem, Leandro N. Av.",AVENIDA,1,Point (108513.43549456 103032.95078343),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0061,1,2018-06-10,2018,6,10,11:15:00,11,Estados Unidos y Pichincha,CALLE,3,Point (105911.62147898 101065.51501699),MOTO,MOTO,1,Motorizado,Motorizado,MM,MOTO-MOTO
2018-0062,1,2018-06-14,2018,6,14,01:00:00,1,Rosario y Barco Centenera Del,CALLE,6,Point (102035.73876399 100936.73706899),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
2018-0063,1,2018-06-16,2018,6,16,21:15:00,21,Av. Leandro N. Alem y Viamonte,AVENIDA,1,Point (108473.00357935 103295.64162815),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0064,1,2018-06-25,2018,6,25,01:15:00,1,Varela Av. y Primera Junta,AVENIDA,7,Point (100435.26388900 98861.53271694),AUTO,CARGAS,1,Motorizado,Motorizado,MM,AUTO-CARGAS
2018-0065,1,2018-06-26,2018,6,26,17:30:00,17,"Pellegrini, Carlos y Juncal",CALLE,1,Point (107493.20906271 104038.93317074),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2018-0066,1,2018-06-28,2018,6,28,11:00:00,11,Av. Corrientes y Av. Federico Lacroze,AVENIDA,15,Point (100750.52062158 104691.17506829),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2018-0067,1,2018-06-29,2018,6,29,16:15:00,16,"Montes De Oca, Manuel y Finochietto Enrique Dr.",AVENIDA,4,Point (107891.26340037 99945.61487141),PASAJEROS,AUTO,1,Motorizado,Motorizado,MM,AUTO-PASAJEROS
2018-0068,1,2018-07-01,2018,7,1,09:00:00,9,"Carabobo Av. y Alberdi, Juan Bautista Av.",AVENIDA,7,Point (100718.69831349 99996.27412808),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2018-0069,1,2018-07-04,2018,7,4,21:45:00,21,"Córdoba Av. 2215

",AVENIDA,2,Point (105900.94104333 103295.18325601),BICICLETA,PASAJEROS,1,No Motorizado,Motorizado,NmM,BICICLETA-PASAJEROS
2018-0070,1,2018-07-07,2018,7,7,15:45:00,15,"Estados Unidos y Urquiza, Gral.",CALLE,3,Point (104963.31095539 100886.97438212),MOTO,PASAJEROS,1,Motorizado,Motorizado,MM,MOTO-PASAJEROS
2018-0071,1,2018-07-10,2018,7,10,17:50:00,17,Moreno y Av. Huergo,AVENIDA,1,Point (108808.25931028 102022.90885862),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2018-0072,1,2018-07-11,2018,7,11,13:15:00,13,"AU Dellepiane kilometro 0.0, altura calle Montiel, sentido hacia el Centro Porteño",AUTOPISTA,8,Point (98224.62123059 93867.97738800),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2018-0073,1,2018-07-11,2018,7,11,15:45:00,15,"Iriarte, Gral. Av. 3400",AVENIDA,4,Point (106218.96559101 97510.98250186),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
2018-0074,1,2018-07-14,2018,7,14,06:04:00,6,AV. JUAN B. ALBERDI 2968,AVENIDA,7,Point (99438.84176266 99501.28380301),AUTO,CARGAS,1,Motorizado,Motorizado,MM,AUTO-CARGAS
2018-0075,1,2018-07-15,2018,7,15,07:30:00,7,Del Libertador Av. y Ortiz De Ocampo,AVENIDA,14,Point (105470.75546311 105320.72785650),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2018-0076,1,2018-07-16,2018,7,16,09:30:00,9,"Chavez, Jorge y Paz, Gral. Av.",CALLE,9,Point (93946.81673714 97681.68907836),AUTO,CARGAS,1,Motorizado,Motorizado,MM,AUTO-CARGAS
2018-0077,1,2018-07-16,2018,7,16,23:15:00,23,"Urquiza, Gral. y Estados Unidos",CALLE,3,Point (104963.31095539 100886.97438212),AUTO,CARGAS,1,Motorizado,Motorizado,MM,AUTO-CARGAS
2018-0078,1,2018-07-21,2018,7,21,06:15:00,6,Paraguay y Sánchez De Bustamante,CALLE,2,Point (104647.18963470 103830.17880585),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2018-0079,1,2018-07-23,2018,7,23,07:15:00,7,"De Los Corrales Av. y Paz, Gral. Av.",GRAL PAZ,9,Point (95832.05571093 95505.41641999),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
2018-0080,1,2018-07-25,2018,7,25,22:22:00,22,"Alberdi, Juan Bautista Av. y Carhue",AVENIDA,9,Point (95506.35959227 96696.89655626),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
