ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,XY (CABA),VICTIMA,ACUSADO,Nº víctimas,V,A,Grupos_Part,Involucrados
2016-0176,1,2016-12-28,2016,12,28,01:41:00,1,AV BELGRANO Y AV PASEO COLON,AVENIDA,1,Point (108597.31948169 101875.41306445),MOTO,PASAJEROS,1,Motorizado,Motorizado,MM,MOTO-PASAJEROS
2016-0177,1,2016-12-29,2016,12,29,04:00:00,4,ARENALES 3319,CALLE,14,Point (104920.46334566 104589.99681258),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2016-0178,1,2016-12-30,2016,12,30,16:18:00,16,REPUBLICA BOLIVARIANA DE VENEZUELA Y SAAVEDRA,CALLE,3,Point (105541.07964363 101532.48653010),PEATON,MULTIPLE,1,PEATON,Multiple,M,MULTIPLE
2017-0001,1,2017-01-02,2017,1,2,01:00:00,1,AV. JUAN B JUSTO Y ACHUPALLAS,AVENIDA,11,Point (99757.62471161 102105.99371863),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0003,1,2017-01-05,2017,1,5,03:10:00,3,OLAVARRIA Y AV. VELEZ SARSFIELD,AVENIDA,4,Point (106759.07058844 98352.11326541),CARGAS,CARGAS,1,Motorizado,Motorizado,MM,CARGAS-CARGAS
2017-0007,1,2017-01-11,2017,1,11,17:00:00,17,LIMA Y MEXICO,CALLE,1,Point (107491.43483173 101547.26343171),PEATON,MULTIPLE,1,PEATON,Multiple,M,MULTIPLE
2017-0008,1,2017-01-16,2017,1,16,00:40:00,0,JOSE A CABRERA Y BONPLAND,CALLE,14,Point (102213.80136590 104917.03799721),MOTO,PASAJEROS,1,Motorizado,Motorizado,MM,MOTO-PASAJEROS
2017-0009,1,2017-01-16,2017,1,16,13:56:00,13,AU 25 DE MAYO Y AV. BOEDO,AUTOPISTA,5,Point (104341.1368196 100202.74363294),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0010,1,2017-01-16,2017,1,16,16:30:00,16,AV. DIRECTORIO Y RIGLOS,AVENIDA,6,Point (102535.57417570 100108.76675064),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0011,1,2017-01-22,2017,1,22,02:30:00,2,AV. GRAL. PAZ Y AV. R. BALBIN,GRAL PAZ,12,Point (96563.66494817 108815.73881056),MOTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,MOTO-OBJETO FIJO
2017-0012,1,2017-01-24,2017,1,24,14:00:00,14,TRAFUL Y DIOGENES TABORDA,CALLE,4,Point (104914.66823035 97637.72796868),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0013,1,2017-01-27,2017,1,27,07:00:00,7,IRIARTE 3055,AVENIDA,4,Point (106744.80812193 97588.11558612),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
2017-0014,1,2017-01-28,2017,1,28,08:27:34,8,AV. DONADO Y ARIAS,AVENIDA,12,Point (97378.59173196 108741.41437861),MOTO,MULTIPLE,1,Motorizado,Multiple,M,MULTIPLE
2017-0015,1,2017-02-02,2017,2,2,15:18:03,15,CORDOBA AV. Y CALLAO,AVENIDA,2,Point (106454.66355436 103285.14730222),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2017-0016,1,2017-02-03,2017,2,3,05:12:21,5,"AU 25 DE MAYO, KILOMETRO 8.3, SENTIDO HACIA PROVINCIA DE BUENOS AIRES, C.A.B.A.",AUTOPISTA,1,Point (107547.76713701 100705.57738660),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0017,1,2017-02-06,2017,2,6,08:00:00,8,AV. JUAN B JUSTO Y PARAGUAY,AVENIDA,14,Point (103145.91571023 105359.30690018),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0018,1,2017-02-09,2017,2,9,07:00:00,7,AV. GRAL. PAZ Y AV. DE LOS CORRALES,GRAL PAZ,9,Point (95832.05571093 95505.41641999),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0021,1,2017-02-18,2017,2,18,05:30:00,5,SARMIENTO Y LIBERTAD,CALLE,1,Point (107308.24054153 102678.45528316),MOTO,PASAJEROS,1,Motorizado,Motorizado,MM,MOTO-PASAJEROS
2017-0024,1,2017-02-23,2017,2,23,20:50:00,20,AV. RIVADAVIA 7121,AVENIDA,7,Point (99762.20699423 99968.05446003),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0026,2,2017-02-26,2017,2,26,05:15:00,5,AV. PERITO MORENO Y FOURNIER,AVENIDA,4,Point (104113.67806500 97722.68219304),AUTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,AUTO-OBJETO FIJO
2017-0027,1,2017-02-26,2017,2,26,21:57:00,21,AV. CASEROS 1429,AVENIDA,1,Point (107333.53318866 99701.77552382),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2017-0028,1,2017-02-28,2017,2,28,09:20:00,9,AV. GAONA Y FRAGATA SARMIENTO,AVENIDA,6,Point (100783.70757056 101919.87125456),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2017-0030,1,2017-03-07,2017,3,7,08:00:00,8,MOZART Y COLECTORA AV. TTE. LUIS J DELLEPIANE,AVENIDA,9,Point (99375.77435905 96732.87189547),AUTO,PASAJEROS,1,Motorizado,Motorizado,MM,AUTO-PASAJEROS
2017-0031,1,2017-03-11,2017,3,11,01:30:00,1,24 DE NOVIEMBRE Y PAVON ,CALLE,3,Point (104889.75647602 100057.93817815),AUTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,AUTO-OBJETO FIJO
2017-0032,1,2017-03-12,2017,3,12,05:00:00,5,AV. GRAL. PAZ Y PEDRO DE MENDOZA,GRAL PAZ,8,Point (97652.09135282 93973.55833508),AUTO,AUTO,1,Motorizado,Motorizado,MM,AUTO-AUTO
2017-0033,1,2017-03-12,2017,3,12,07:30:00,7,AV. GRAL. PAZ KM. 10,GRAL PAZ,11,Point (94371.21426086 102884.21739121),AUTO,AUTO,1,Motorizado,Motorizado,MM,AUTO-AUTO
2017-0034,1,2017-03-13,2017,3,13,07:50:00,7,GODOY CRUZ 2651,CALLE,14,Point (103464.34360929 105543.78205193),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2017-0035,3,2017-03-23,2017,3,23,05:00:00,5,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,AVENIDA,1,Point (109583.11620052 102006.72069921),AUTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,AUTO-OBJETO FIJO
2017-0036,2,2017-03-29,2017,3,29,18:00:00,18,CURUPAYTI Y COLECTORA AV. GRAL. PAZ,GRAL PAZ,12,Point (95300.18060161 105287.23850698),MOTO,PASAJEROS,1,Motorizado,Motorizado,MM,MOTO-PASAJEROS
2017-0037,1,2017-03-31,2017,3,31,03:00:00,3,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,1,Point (106817.01972475 101248.18030272),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0038,1,2017-04-01,2017,4,1,19:00:00,19,AV. CASTAÑARES Y LAUTARO,AVENIDA,7,Point (101662.32423755 98406.44885071),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0040,1,2017-04-03,2017,4,3,09:40:00,9,CAMINO CIUDAD UNUVERSITARIA Y AV. TTE. GUIRALDES,AVENIDA,13,Point (102290.82648731 109281.08885461),AUTO,MULTIPLE,1,Motorizado,Multiple,M,MULTIPLE
